Country,2014,2016,2017,2019,2023,Notes for:
Unknown Series,,,,,,
Australia,Q1,,,,,"General government debt in foreign currency, % of total"
Colombia,,,,,Q3,
Cote d'Ivoire,,,,,Q2,
Fiji,,,,,Q3,
France,,,,,Q2,
Ireland,,,,,Q3,
Italy,,,,,Q3,
Kenya,,Q3,,,Q3,
Latvia,,,,,Q3,
Lebanon,,,,,Q2,
Malawi,Q3,,,,,
Mexico,,,,,Q3,
Mongolia,,,,,Q3,
Nepal,,,,Q2,,
Nicaragua,,,,,Q3,
Nigeria,,,,Q1,,
Paraguay,,,,,Q2,
South Africa,,,,,Q3,
Tanzania,Q2,,,,,
Tonga,,,Q1,,,
United Kingdom,,,,,Q3,
